City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Port Blair,IN,11.6667,92.75,79.92,81,100,4.03,overcast clouds
190,Baruun-Urt,MN,46.6806,113.2792,25.39,47,4,8.43,clear sky
191,Ukwa,IN,21.9667,80.4667,68.74,97,19,1.86,few clouds
192,Limbang,MY,4.75,115.0,78.91,97,96,2.3,overcast clouds
193,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,70,52,12.46,broken clouds
194,Narsaq,GL,60.9167,-46.05,41.22,72,7,3.78,clear sky
195,Mao,ES,39.8885,4.2658,73.96,83,20,8.05,few clouds
196,Naze,JP,28.3667,129.4833,76.08,85,100,3.71,overcast clouds
197,Save,BJ,8.0425,2.486,83.01,71,78,3.38,broken clouds
198,Suntar,RU,62.1444,117.6319,31.35,97,100,9.08,light snow
199,Fort-Shevchenko,KZ,44.5086,50.263,53.29,57,100,19.35,overcast clouds
200,Nabire,ID,-3.3667,135.4833,77.05,90,97,1.92,overcast clouds
201,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.77,73,8,8.48,clear sky
202,Aklavik,CA,68.2191,-135.0107,24.8,93,100,5.75,light snow
203,Usinsk,RU,65.9939,57.5281,36.41,95,90,7.29,overcast clouds
204,Bredasdorp,ZA,-34.5322,20.0403,68.27,77,61,5.19,broken clouds
205,Cape Town,ZA,-33.9258,18.4232,73.89,60,12,1.99,few clouds
206,Treinta Y Tres,UY,-33.2333,-54.3833,62.56,84,85,12.68,overcast clouds
207,Hami,CN,42.8,93.45,55.9,22,4,3.53,clear sky
208,Banff,CA,51.1762,-115.5698,54.77,48,23,3.87,few clouds
209,Goure,NE,13.9835,10.2704,92.21,11,3,9.28,clear sky
210,Nova Vicosa,BR,-17.8919,-39.3719,79.29,61,46,7.92,scattered clouds
211,Longyearbyen,SJ,78.2186,15.6401,26.44,63,75,11.5,broken clouds
212,Griffith,US,41.5284,-87.4237,57.69,54,75,8.05,broken clouds
213,Souillac,MU,-20.5167,57.5167,71.44,76,74,8.93,broken clouds
214,Kushiro,JP,42.975,144.3747,58.3,89,100,10.6,light rain
215,Fortuna,US,40.5982,-124.1573,63.93,79,75,6.91,broken clouds
216,Namibe,AO,-15.1961,12.1522,70.92,83,77,8.5,broken clouds
