City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Gigmoto,PH,80.58,overcast clouds,13.7796,124.39,Cj's Travellers Inn
361,Asfi,MA,78.55,overcast clouds,32.2994,-9.2372,Hôtel Abda
365,Aljezur,PT,70.16,overcast clouds,37.3191,-8.8033,Amazigh Hostel
367,La Palma,US,71.6,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
368,Manuk Mangkaw,PH,83.26,overcast clouds,4.8,119.85,
369,Elizabeth City,US,80.01,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
370,Belmonte,BR,78.58,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
372,Maragogi,BR,79.72,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
375,Manbij,SY,73.0,scattered clouds,36.5281,37.9549,Manbej City Hotel
377,Marsa Matruh,EG,73.24,light rain,31.3525,27.2453,Beau Site
379,Saurimo,AO,73.06,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
381,Saint-Leu,RE,72.46,broken clouds,-21.15,55.2833,La Caz Oceane
382,Isla Vista,US,70.02,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
383,Alyangula,AU,80.64,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
386,Sabang,ID,79.38,light rain,5.8933,95.3214,Hotel Citra
387,Mananjary,MG,70.16,clear sky,-21.2167,48.3333,Vahiny Lodge
390,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
391,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Pirineos
398,Llanes,ES,70.9,overcast clouds,43.4198,-4.7549,Hotel La Paz
399,Thinadhoo,MV,81.7,overcast clouds,0.5333,72.9333,
402,Katherine,AU,84.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
403,Arica,CL,72.95,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
405,Harrisonburg,US,73.15,broken clouds,38.4496,-78.8689,Hampton Inn Harrisonburg - University
409,Poum,NC,75.04,scattered clouds,-20.2333,164.0167,
411,Phalaborwa,ZA,79.18,broken clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
412,Saint-Pierre,RE,73.08,overcast clouds,-21.3393,55.4781,Alize Plage
413,Tautira,PF,77.14,broken clouds,-17.7333,-149.15,Pension Oaoa
414,Bahawalnagar,PK,75.43,clear sky,30.5508,73.3908,Malik Amir Munir Jhakhar
418,Viramgam,IN,80.35,few clouds,23.1225,72.0484,'Hotel Asopalav & Guest House-honest
419,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
420,Kavaratti,IN,82.06,overcast clouds,10.5669,72.642,Green leaf
422,General Cepeda,MX,83.07,clear sky,25.3833,-101.45,Hacienda Los Jose
424,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
425,Juybar,IR,70.52,scattered clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
431,Seoni Malwa,IN,70.68,clear sky,22.45,77.4667,hotel naman residency
434,Portland,US,79.54,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
442,Eydhafushi,MV,81.39,overcast clouds,5.1033,73.0708,Soneva Fushi
447,Aras,ES,81.01,clear sky,42.5617,-2.356,Jardines de Viana Spa
449,Fez,MA,82.65,broken clouds,34.0372,-4.9998,Hotel Mounia Fès
453,Karratha,AU,74.03,clear sky,-20.7377,116.8463,ibis Styles Karratha
454,Kavieng,PG,81.7,light rain,-2.5744,150.7967,Nusa Island Retreat
455,Jaguaquara,BR,73.02,overcast clouds,-13.5306,-39.9708,Hotel Irmãos Vaz
459,Nadadores,MX,81.28,few clouds,27.05,-101.6,Hacienda Las Catalinas
